"Rank","Value Rating","Model","Price (MSRP)","Signature","Comments","Tone Grade","Technical Grade"
"C-","","EarWerkz Legend Omega","Discont.","Warm","Tuning that is really a product of its time. Does not hold up well today.","D","B"
"C-","","Kinera SIF","30","V-shaped","Bloated bass with sharp and sibilant treble.","C-","C"
"C-","","Shanling ME100","120","V-shaped","An odd take on the typical ""chifi DD"" sound, rolling off the bass for extra clarity at the expense of tonality.","C-","C"
"C-","","W+G T2","130","Bright V-shape","","C-","C"
"C-","","Super Audio ""Supermeme"" 2BA+2DD","150","V-shaped","A decently tuned V-shaped hybrid with energetic upper midrange. May be intense for some.","C-","C"
"C-","","Shozy Rouge","180","V-shaped","Sounds surprisingly to certain units of the Kinera IDUN (the same driver config too).","C-","C"
"C-","","Audio Technica ATH-IM01","200","Warm","Bloated and congested presentation. Needs more treble extension.","C-","C"
"C-","","Fatfreq Eden","220",""Balanced"","A strange sounding monitor with no clear direction in its tuning.","C-","C"
"C-","","Fatfreq Musician Plus","220","Warm","","C-","C"
"C-","","Fatfreq Reference Plus","220","Warm neutral","","C-","C"
"C-","","Hidizs Mermaid MS4","250","V-shaped","Generic V-shape tuning with middling technicalities.","C-","C"
"C-","","Sennheiser Momentum True Wireless","300","V-shaped","Similar but not identical to its wired counterpart. A weirdly tuned V-shaped response.","C-","C"
"C-","","Grado GR8","300","Warm neutral","Weird mids, somewhat hot treble. Not... great.","C-","C"
"C-","","Fatfreq Musician Pro","370","Warm","","C-","C"
"C-","","Audio Technica ATH-LS300","400","Warm V-shape","Seems alright up till the treble. Very odd treble timbre.","C-","C"
"C-","","Advanced M5-1D","400","V-shaped","Typical chifi DD sound. Nothing special.","C-","C"
"C-","","ORB CF-IEM Stella","450","Warm","","C-","C"
"C-","","Cayin YB04","500",""Balanced"","An odd take on neutrality that sounds weird and uneven.","C-","C"
"C-","","Campfire Nova","500","Neutral with laid-back treble","Somewhat dead-sounding with no shimmer or sparkle in the upper registers.","C-","C"
"C-","","Stealthsonics U4","500","Warm","An odd character, simultaneously bassy and thin at the same time.","C-","C"
"C-","","Jomo Jazz","500","Warm neutral","Feels like an attempt at an all-rounder signature, but forgot about tuning in upper treble.","C-","C"
"C-","","Kinera Norn","500","V-shaped","","C-","C"
"C-","","Audio Technica ATH-LS400","580","Warm V-shape","Seems alright up till the treble. Very odd treble timbre.","C-","C"
"C-","","FitEar Fitear","900","Warm","Sounds like an even warmer variation of the F111.","C-","C"
"C-","","Jomo Salsa","1050","Warm V-shape","Slightly bloated and sharp-sounding signature, and somewhat odd midrange tonality.","C-","C"
"C-","","Campfire Solstice","1500","Warm","Doesn't sound like an Andromeda at all. A muddy, husky mess.","C-","C"
"C-","","Yamaha EPH100","Discont.","V-shaped","Interesting W-shaped signature with recessed lower and upper midrange.","C-","C"
"C-","","Custom Art FIBAE 1","Discont.","Bright","Peaky, uneven mids and probably more uneven treble.","C-","C"
"C-","","VSonic VSD2S","Discont.","Warm V-shape","Dangerous combo of recessed upper mids and strong treble emphasis.","C-","C"
"C-","","VSonic VSD3S","Discont.","U-shaped","Dangerous combo of recessed upper mids and strong treble emphasis.","C-","C"
"C-","","Aurisonics Kicker","Discont.","V-shaped","Rather generic tuning though with narrow staging and limited resolution.","C-","C"
"C-","","Stax SR-001 Mk2","Discont.","Mid-centric","Slight technical improvement over the Mk1, though tuning remains largely the same.","C-","C"
"C-","","Heir Audio Tzar 350","Discont.","Bright","Its detail would be appreciated if it didn't come with ear-splitting treble.","C-","C"
"C-","","IMR R1 Zenith","Discont.","Variable","Not very detailed with a persistently odd tonal balance regardless of filters used.","C-","C"
"C-","","Eternal Melody EM-4","?",""Balanced"","Downsloping response with uneven mids.","C-","C"
"C-","","Eternal Melody EM-6","?",""Balanced"","Uneven mids, odd tonality, sounds like someone shoved drivers in there without any tuning.","C-","C"
"C-","","QKZ ZXN","10","V-shaped","","C","C-"
"C-","","QKZ ZXD","20","V-shaped","","C","C-"
"C-","","Qudelix Qx-over","30","Bassy","","C","C-"
"C-","","Tin HiFi T1 Plus","30","V-shaped","Generic V-shape tuning with middling technicalities.","C","C-"
"C-","","Kinera BD005 Pro","60","Mild U-shape","Far better balanced in tonality than the original. Could use more damping the treble though.","C","C-"
"C-","","TRN BA5","70","V-shaped","Low resolution, passable tonality.","C","C-"
"C-","","Advanced M3","80","Bassy","Too much bass results in heavy tonal imbalance. Not great for timbre sticklers.","C","C-"
"C-","","Heygears Anora","80","Neutral with laid-back treble","Very good tuning, well-balanced signature.","C","C-"
"C-","","BGVP Q2","100","Bright neutral","Poor bass, thin notes, shouty midrange and sharp treble.","C","C-"
"C-","","Sennheiser IE40 Pro","100","Neutral","An odd take on a balanced signature that sounds dead and lifeless.","C","C-"
"C-","","Grado iGe","100","U-shaped","Generally mid-scooped with emphases in sub-bass and mid-treble.","C","C-"
"C-","","Tin HiFi T2000","110","V-shaped","Pretty standard chifi V-shaped sound, nothing special.","C","C-"
"C-","","Anthem Five E2","150","Bassy","Lots of bass and not a lot of treble to balance it out. Alright midrange tone but resolution is poor.","C","C-"
"C-","","Alpha & Delta KS3","150","Mid-centric","Shouty, lacking bass extension and ultimately too oddly coloured.","C","C-"
"C-","","NuForce HEM1","150","Neutral","Reference tuning with tonal balance. Unfortunately limited by its technicalities.","C","C-"
"C-","","Brainwavz B400","150","Neutral","Dulled transients and dynamics makes this a boring listen.","C","C-"
"C-","","AAW Nebula Two","150","U-shaped","Excellent clarity and wide staging due to semi-open design. DD bass manages to shine through.","C","C-"
"C-","","Heartfield Acoustic Deer","170","V-shaped","","C","C-"
"C-","","1More Quad Driver","200",""Balanced"","Okay-ish technical ability in a mainstream tuning. Can get congested.","C","C-"
"C-","","Zero Audio Carbo Doppio ZH-BX700","250","Neutral","Severely lacking in treble extension and detailing.","C","C-"
"C-","","Pioneer SE-CX9","300","Bassy","Final-ish single BA tuning with the interesting ""bass exciter"" technology vibrating your ears with bass.","C","C-"
"C-","","JH Billie Jean","350","V-shaped","Follows the JH house sound but otherwise nothing special.","C","C-"
"C-","","Shure SE535","500","Neutral","Tonally dead. One-note bass. No treble worth mentioning.","C","C-"
"C-","","Campfire Atlas","1300","Bassy","Gobs of bass with added treble sparkle that prevents complete congestion and muddiness.","C","C-"
"C-","","VSonic VSD1S","Discont.","Warm","Bloated and overly-warm, but not the worst VSonic IEM out there.","C","C-"
"C-","","Fostex TE-02WP","Discont.","Neutral-bright","Balanced and clear. Very good value.","C","C-"
"C-","","1More Dual Driver","Discont.","Warm","Somewhat balanced tonality though not the greatest in technical performance.","C","C-"
"C-","","Phonak PFE","Discont.","Warm","Somewhat warm-ish and non-offensive tonality, but with very flat-sounding dynamics.","C","C-"
"C-","","Razer Moray","130","Neutral","","C","C-"
"C-","","Jade Audio EA3","50","Bright V-shape","Painful treble. Very painful.","D+","C+"
"C-","","Tin HiFi T2 Evo","60","Bright V-shape","","D+","C+"
"C-","","Shuoer Singer","70","V-shaped","Less ""sing"" and more ""scream"". Needs those upper-mids toned down, desperately.","D+","C+"
"C-","","Shuoer Tape Pro","130","V-shaped","An attempt to fix the original Tapes by targeting not the upper mids, but the treble. Just makes things worse.","D+","C+"
"C-","","HarmonicDyne P.D.1","380","U-shaped","","D+","C+"
"C-","","Audiosense AQ7","500","Unique","Sub-bass boost, odd midrange and rolled-off treble. Not for everyone.","D+","C+"
"C-","","IMR R1","550","Variable","Just various shades of wonky. Not recommended for the shout-intolerant.","D+","C+"
"C-","","Clear Tune Monitors CT-500 Elite","800",""Balanced"","Just a weird-sounding tuning that doesn't seem to fit any kind of classification.","D+","C+"
"C-","","Future Sonics MG5HX","875","V-shaped","Typical V-shaped DD signature with minimal focus on technicalities.","D+","C+"
"C-","","Fearless Roland","1010","Dark neutral","An almost total lack of treble results in a muffled, dark presentation.","D+","C+"
"C-","","Earsonics ES5","1150",""Balanced"","Very, very uneven tuning. No clear direction, just sounds wrong.","D+","C+"
"C-","","Kumitate KL-Kanon","1250","Variable","Pot adjusts bass and lower mids. Intense V-shape, bright-and-shouty, and everything else in-between.","D+","C+"
"C-","","FiR Neon 4","2300","Bassy","","D+","C+"
"C-","","fineEars TSH-HR1000K","70","V-shaped","Pretty decent tonality but is severely lacking details.","C+","D+"
"C-","","Eternal Melody EM-2","290","V-shaped","It just sounds ""meh"" to be. Nothing much to say.","C+","D+"
"C-","","UFOEar UFO-111","200","U-shaped","Truly wild-and-whacky tonality that makes most instruments sound wrong. Pretty decent resolution though.","D","B-"
"C-","","FiR M2","800","V-shaped","Shrill, unnatural tone in an otherwise acceptable technical package.","D","B-"
"C-","","AAW Nightingale","1000",""Balanced"","Horribly tuned midrange that sounds wrong and lacks energy.","D","B-"
"C-","","TRN MT1","5","V-shaped","","C-","C-"
"C-","","I-INTO i8","25",""Balanced"","Somewhat downsloping signature. It's an IEM that exists.","C-","C-"
"C-","","Advanced 747","60","Bassy","Way too much bass. Interferes with instrument timbre and not even that detailed either.","C-","C-"
"C-","","Oriveti Basic","100","Bassy","Lots of sub-bass rumble with an energetic midrange. Roll-off for non-fatigue.","C-","C-"
"C-","","WG T-One","100","V-shaped","Lacks definition, lacks resolution, weird V-shaped tuning.","C-","C-"
"C-","","Sennheiser Momentum In-Ear","100","V-shaped","Fuzzy, typical V-shaped sound but nothing too egregious.","C-","C-"
"C-","","Pai Audio DM2A","140","V-shaped","Weird midrange. Oddly similar to the Kinera IDUN.","C-","C-"
"C-","","Kinera Idun (Deluxe)","140","V-shaped","Not a bad hybrid, considering Kinera's track record.","C-","C-"
"C-","","HiBy WH3","150","V-shaped","Gives off that ""generic V-shape"" impression, but it's weirder than that on more listening.","C-","C-"
"C-","","Noble Falcon","156","V-shaped","Harsh midrange with strong bass and treble. Very mainstream sound.","C-","C-"
"C-","","Whizzer A-HE03 ""Kylin""","160","Warm V-shape","Odd tonality and lacklustre technical ability overall.","C-","C-"
"C-","","Zero Audio Carbo Singolo ZH-BS150-CS","170","Warm neutral","Lacks definition and has virtually zero upper treble.","C-","C-"
"C-","","Fearless Crystal Pearl","200","Warm","Veiled, weird sounding and lacking details.","C-","C-"
"C-","","Shure SE425","300","Neutral","Reinforces the fact that Shure somehow hates upper treble.","C-","C-"
"C-","","Cardas A8","350",""Balanced"","A really weird take on neutrality. At least the bass is relatively well-controlled.","C-","C-"
"C-","","Westone W20","350","Warm","A darker, arguably inferior variation of the typical GQ driver sound.","C-","C-"
"C-","","Campfire Polaris V2","500","Bassy","Overwhelming amounts of bass only slightly balanced out by a midtreble emphasis.","C-","C-"
"C-","","Elysian Minerva","900","Warm V-shape","Wonky tone with blunted notes, not very revealing.","C-","C-"
"C-","","Noble Django","1000","Warm","Lower-mid bloat and lacking definition.","C-","C-"
"C-","","Ultimate Ears Live","2200","Warm","Soft, muddy, low resolution and lacks any sort of definition.","C-","C-"
"C-","","Stax SR-001 Mk1","Discont.","Mid-centric","Sounds like an old-school on-ear headphone from the 80s.","C-","C-"
"C-","","Meccaudio ME-04","Discont.","Neutral","A not-quite-neutral ""neutral"" monitor.","C-","C-"
"D+","","Yinyoo Ash","20","V-shaped","Wonky tone and sharp treble is not a great combo.","D+","C"
"D+","","Tripowin TP10","50","Bright V-shape","Skewed towards the higher frequencies with wonky mids and your average KZ technicalities.","D+","C"
"D+","","Shure SE315","200","Dark","Honky mids, limp bass, no upper treble.","D+","C"
"D+","","Tago Studio T3-02","250",""Balanced"","","D+","C"
"D+","","Earsonics ES2","300","Mid-centric","Slightly honky and lacking extension on both ends.","D+","C"
"D+","","Ocharaku Donguri Keyaki","400","Bright V-shape","It's not necessarily V-shaped... but certainly very sharp.","D+","C"
"D+","","Ultimate Ears UE900S","400","Warm","Very, very boxy and nasal midrange. Limited technical ability.","D+","C"
"D+","","Westone W30","400","Warm","Fairly balanced as far as Westones go, but still suffers from subpar definition.","D+","C"
"D+","","Ocharaku Donguri Ti Plus","500","V-shaped","Spiciness as expected of an Ocharaku. More shouty than bright, and weirdly thin.","D+","C"
"D+","","InEar StageDiver SD-3","600","Warm","Too much warmth, not enough balance and definition.","D+","C"
"D+","","Noble M3","600","V-shaped","Strident and harsh midrange only saved by its somewhat competent bass presentation.","D+","C"
"D+","","Advanced M5-5D","650","Bright neutral","An otherwise capable hybrid unfortunately let down by its ridiculous treble spike.","D+","C"
"D+","","Custom Art FIBAE ME","800","Warm","Downsloping signature, bloated bass, and imprecise treble.","D+","C"
"D+","","Warbler Prelude","1100","Dark","Rolled off on both ends with a very typical single-BA sound.","D+","C"
"D+","","Effect Audio Axiom","1500","Bassy","","D+","C"
"D+","","Earsonics EM10/Grace","2300","Warm","Oddly low dynamics makes this sound rather dead and lifeless.","D+","C"
"D+","","FiR Krypton 5","3000","Bassy","","D+","C"
"D+","","Ocharaku Co-Donguri Shizuku","Discont.","V-shaped","Spiciness as expected of an Ocharaku. More shouty than bright, and weirdly thin.","D+","C"
"D+","","HiBy Crystal6","Discont.","Bright V-shape","Surprisingly thin and sharp-sounding thing. At least it's somewhat technical.","D+","C"
"D+","","Custom Art Pro330v2","Discont.","Warm","Boxy mids, slightly bloated, congested imaging, not great.","D+","C"
"D+","","Rose Mini2","110","Warm","It's somewhat natural in timbre but lacks a lot of technical proficiency.","C","D+"
"D+","","Flicker Ear Norma","450","Dark","Extremely warm, lacking definition and clarity.","C","D+"
"D+","","Noble Trident","400","Warm V-shape","Strident.","D","C+"
"D+","","Cayin Fantasy","800","Bright","","D","C+"
"D+","","Hifiman RE1000","1000","V-shaped","A strange take on a V response. Intense yet with no upper treble to speak of.","D","C+"
"D+","","Audio Technica ATH-IEX1","1200","V-shaped","Sounds weird, sounds wrong, needs a complete overhaul.","D","C+"
"D+","","JH Audio Jolene","1800","Variable","Really only usable at-or-near max bass settings. Honky, lacking upper mids and just wonky overall.","D-","B-"
"D+","","Advanced Elise","30","Bassy","Boomy and heavy sounding. Smoothed over details but not the worst out there.","D+","C-"
"D+","","Ocharaku Co-Donguri Shizuku S2","50","V-shaped","Not an improvement over the original, that's for sure.","D+","C-"
"D+","","TRN TA2","50","V-shaped","","D+","C-"
"D+","","Tipsy TTROMSO","90","V-shaped","","D+","C-"
"D+","","Master & Dynamic MW07 Go","200","V-shaped","Not much different from the MW07.","D+","C-"
"D+","","Kennerton Jimo","300","Bassy","Cloying, overpowering bass response. Truly a muddy IEM.","D+","C-"
"D+","","Master & Dynamic MW07 Plus","300","V-shaped","Not much different from the MW07.","D+","C-"
"D+","","Master & Dynamic MW07","300","V-shaped","Tonally imbalanced, with too much of the mids being pushed back into the mix.","D+","C-"
"D+","","Clear Tune Monitors CT-300 Pro","600","Warm","Overly-bloated and warm with virtually zero definition.","D+","C-"
"D+","","IMR Semper","1300","Variable","An incoherent mess with bloated bass and piercing-sharp treble.","D+","C-"
"D+","","Westone 4R","Discont.","Dark","Low resolution, extremely blunted and narrow imaging.","D+","C-"
"D+","","Venture Electronics Duke","Discont.","Warm","Oddly tuned dynamic, but at least it's not the Monk IEs.","D+","C-"
"D+","","Shure SE215","100","V-shaped","Sounds like a typical dynamic IEM. Slightly bloated bass and narrow staging.","C-","D+"
"D+","","1More Triple Driver","100","V-shaped","Subpar tuning with unfortunately thin midrange. Flat bass, not in a good way.","C-","D+"
"D+","","Symphonium Audio Mirage","150","Dark","Typical single-BA sound that doesn't offer anything special.","C-","D+"
"D+","","Advanced GT3 Superbass","200",""Balanced"","Acceptable resolution though the tone is off in many ways. Filters don't seem to address that issue.","C-","D+"
"D+","","Advanced GT3","200","V-shaped","Sharp, shrill and overall unpleasant.","C-","D+"
"D+","","Sennheiser IE80S","350","V-shaped","Warm, bassy, congested and lacking in dynamics. Oddly sharp yet lacking in sparkle","C-","D+"
"D+","","MUNITIO Bullet In-Ear","Discont.","V-shaped","Deep V signature with bloated bass and piercing highs.","C-","D+"
"D+","","Nothing Ear (1)","150","V-shaped","","D","C"
"D+","","LZ A4 Pro","250","Variable","","D","C"
"D+","","Westone W40","500","Warm V-shape","Overbearing lower mids, weird treble, odd tonality overall. Definitely a Westone.","D","C"
"D+","","Audio Technica ATH-CK2000Ti","750","Bright V-shape","","D","C"
"D+","","Campfire Dorado","1000","Warm","Extremely coherent albeit slightly congested. Great for intimacy lovers.","D","C"
"D+","","Earsonics EM32","1100","U-shaped","Lots of bass, recessed lower mids, strange upper mids, just an oddball all round.","D","C"
"D+","","Earsonics S-EM9","1500",""Balanced"","Honky, no upper mids, not a great experience.","D","C"
"D+","","FiR Xenon 6","3900","Bassy","","D","C"
"D+","","NXEars Opera","800","Warm","One word: bloat.","D-","C+"
"D+","","1More Single Driver","40","Bright V-shape","Shouty with bass bleed sprinkled in.","D+","D+"
"D+","","Kinera SEED","50",""Balanced"","Lacking in bass extension and tonally skewed too much to the higher frequencies.","D+","D+"
"D+","","Massdrop x MEE Planamic","150","V-shaped","Severely lacks resolution and in dire need of tonal refinements.","D+","D+"
"D+","","HiFi Boy OS V3","150","Warm neutral","Bloated, lacks definition and treble extension too.","D+","D+"
"D+","","Jaybirds Vista","180","V-shaped","Extremely scooped out midrange with piercing treble.","D+","D+"
"D+","","AAW ACH/Kingfisher","190","Warm","Persasive warmth just puts a blanket on all the transients. Lacks definition.","D+","D+"
"D+","","Unknown Custom UCD-3","270","Warm","Mushy, blunted transients with a warm yet strangely sibilant tuning.","D+","D+"
"D+","","Fearless S5T","330","Warm","Tonally off and lacking details. Not enough bite or energy either.","D+","D+"
"D+","","B&O Beoplay E8","350",""Balanced"","An extremely odd take on a neutral sound signature that simply doesn't work.","D+","D+"
"D+","","Unknown Custom Quad 2.0","390","V-shaped","Low-resolution, low-detail, passable tonality.","D+","D+"
"D+","","Cozoy Trio","450","Unique","Odd tuning, doesn't sound too bad but it's overall not very impressive at all.","D+","D+"
"D+","","Unknown Custom Juno","640","Variable","Something odd going on in the midrange. Same issues in resolution.","D+","D+"
"D+","","Westone W60","1000","Warm","A little better tuned than your average Westone, but suffers from the usual lack of definition.","D+","D+"
"D+","","Ambient Acoustics AM7","1750","Variable","Unreliable switches, mediocre technical ability and the tone is slightly off.","D+","D+"
"D+","","Advanced Model X","Discont.","V-shaped","Extreme treble and bass response to a fault.","D+","D+"
"D","","LH Verb","40","V-shaped","Midrange is pushed all the way back and if that doesn't push you away, the treble will.","D","C-"
"D","","TFZ 3S","65","V-shaped","It's okay. It's a Chinese dynamic IEM, nothing special.","D","C-"
"D","","LZ A2 Pro","140","V-shaped","","D","C-"
"D","","Sennheiser IE500 Pro","600","Dark","Heavy, undefined sound with bloated bass and little energy.","D","C-"
"D","","Earsonics Blade","610","Warm","Typical Earsonics house sound of ""screwed up midrange"", now with DD bass.","D","C-"
"D","","RHA CL2","900","V-shaped","Some of the weirdest mids around, oddly shouty with no cohesiveness in its tonality.","D","C-"
"D","","Kojo KJB-01 “Keyagu”","910","V-shaped","","D","C-"
"D","","Earsonics Stark","1540","Warm","Typical Earsonics house sound of ""screwed up midrange"", now with DD bass.","D","C-"
"D","","Spiral Ears SE5U","2000","Dark","Weird phasing, horrible tonal balance with near zero regard for treble.","D","C-"
"D","","MUNITIO Billets","Discont.","Bassy","Extremely, extremely bloated. Absolutely zero sense of anything ""balance"".","D","C-"
"D","","Shozy x AAW Hibiki SE","Discont.","V-shaped","All around wonky with the weirdest timbre I've heard in a dynamic driver.","D","C-"
"D","","Aroma Shock","Discont.","V-shaped","At least its technicalities aren't as bad as its tonality.","D","C-"
"D","","1More Piston","15","V-shaped","Tonally alright, technically distrastrous.","C-","D"
"D","","Advanced Sleeper","20","Bassy","Too much bass, not enough clarity, and definitely not enough resolution.","C-","D"
"D","","Astrotec Delphinus 5","500",""Balanced"","Sounds plain wrong. Instruments are nowhere close to how they should on proper gear.","D-","C"
"D","","Fender FXA9","1300","Dark","Pretty severe downsloping response, also results in low clarity and resolution.","D-","C"
"D","","FAAEAL Hibiscus","40",""Balanced"","","D","D+"
"D","","BGVP Zero","80","Warm","I have no idea what this is trying to accomplish.","D","D+"
"D","","Audio Technica ATH-CK3TW","100","V-shaped","Loose and uncontrolled bass in combination with a sharp and piercing treble.","D","D+"
"D","","Fearless Crystal Ball","200","Warm V-shape","Definitely evokes real ""Westone"" vibes here.","D","D+"
"D","","Audiofly AF160","430","Dark","Not just dead but almost completely devoid of treble. Double whammy.","D","D+"
"D","","NXEars Basso","500","Warm V-shape","Definitely evokes real ""Westone"" vibes here. At least it has treble.","D","D+"
"D","","Westone W50","800","Warm","Per usual: Westone's stubborn downsloping tuning with abysmal technical performance.","D","D+"
"D","","Effect Audio Symphony","890","Warm","A muddy, overly warm sound with that struggles with surface-level detailing.","D","D+"
"D","","Campfire Dorado (2020)","1100","V-shaped","Bloated bass just barely saved by a midtreble peak. Most of its resolution seem to come from its BA driver.","D","D+"
"D","","Campfire Equinox","1500","Bassy","Extremely different from the Atlas. It's a lot worse.","D","D+"
"D","","Rhapsodio Zombie","1800","Bassy","Not the cleanest bass and with coherency issues that shouldn't exist for an IEM of its asking price.","D","D+"
"D","","Sound Linear Fitz 10 Flat","2200",""Balanced"","It sounds dead and boring. Nothing about it stands out at all.","D","D+"
"D","","Ultimate Ears Super.Fi 5 Extra Bass (SF5EB)","Discont.","Bassy","The world's first hybrid IEM. Very dated sound, with far too much bass and not enough resolution.","D","D+"
"D","","Sound Linear Fitz 3X","Discont.",""Balanced"","An attempt at neutrality, but looks like someone forgot that upper-mids exist.","D","D+"
"D","","Ambient Acoustics AM24","Discont.",""Balanced"","See AM16. Perhaps even slightly worse.","D","D+"
"D","","BGVP DN3","75","V-shaped","","D+","D"
"D","","Fidue A71","80","Bassy","Boomy and bleeds into the mids. Not a lot of definition.","D+","D"
"D","","1More Stylish","100","Bassy","Pretty standard ""consumer signature"" that panders to those who want bass and nothing else.","D+","D"
"D","","Radius HP-TWF41","330","Warm","","D+","D"
"D","","Jomo Haka","365","Dark","Mushy, blobby and low resolution.","D+","D"
"D","","NuForce Primo 8","500","Dark","Tone is off, detailing is low, things sound wrong. Lies on a spectrum of ""average"" to ""no"".","D+","D"
"D","","Jomo PLB","510","Dark","Bloated, congested and oh-so-slow.","D+","D"
"D","","Origami Audio Silver","900","Warm","A slow, plodding mess without the courtesy of having a decent tuning.","D+","D"
"D","","Madoo Type 711","1600","V-shaped","","D+","D"
"D","","oBravo Cupid","270","V-shaped","Incoherent, broken imaging, overly-shouty, sharp treble, just a cacophony.","D-","C-"
"D","","Dethonray Tender I","640",""Balanced"","","D-","C-"
"D","","AAW A2H-Pro V2","220","Dark","Good coherency but sub-par tuning and sluggishy slow.","C-","D-"
"D","","Kinera BD005","30","Bassy","Bass is begging to be reined in on this one.","D","D"
"D","","Future Sonics G10","220","V-shaped","Shouty, bassy, yet oddly dull.","D","D"
"D","","Westone Pro X50","650","Dark","","D","D"
"D","","Sennheiser IE80","Discont.","V-shaped","An oddly-tuned, technically-underwhelming set that has not aged well.","D","D"
"D-","","Raycon E25","80","V-shaped","It's a lot of bass. A ridiculous amount of bass. Bloated, muddy and piercing all at the same time.","D-","D+"
"D-","","RHA CL750","100","Bright","Ear-piercing treble makes it hard to listen to.","D-","D+"
"D-","","Sony WF-SP800N","220","Bassy","It's all bass.","D-","D+"
"D-","","ddHiFi Janus","250","Mid-centric","Someone forgot to tune bass into this... thing.","D-","D+"
"D-","","Earsonics SM64v2","500","Warm","Weirdly incoherent and disjointed. Good warmth, though.","D-","D+"
"D-","","Westone UM Pro 50","750","Dark","In true Westone fashion: the ""downslope"" signature at its worst.","D-","D+"
"D-","","oBravo Ra 21 C","7000","Unique","Noted tuning improvements over its predecessor, but still a fundamentally flawed IEM design.","D-","D+"
"D-","","Ambient Acoustics AM16","Discont.",""Balanced"","Sounds weird and is completely average in pure technicalities. Disappointing.","D-","D+"
"D-","","Shozy x AAW Hibiki","60","Bright","Sharp, shrill tonality. Average everything else.","D+","D-"
"D-","","Nuforce HEM4","330","Warm","Dead as a doornail. Missing bits and pieces in its tuning.","D+","D-"
"D-","","Nuforce HEM6","450","Warm","Refer to the above.","D+","D-"
"D-","","Campfire Vega (2020)","900","Bassy","Uncontrolled bass, lacks definition and with barely any resolution.","D+","D-"
"D-","","Audio Technica ATH-LS50","60","Bassy","Really weird and wonky tonality. Really struggles to resolve... things.","D-","D"
"D-","","Campfire Honeydew","250","Bassy","Bloated bass, recessed upper-mids, generally off-tone, and simply lacking surface-level detailing.","D-","D"
"D-","","Westone UM Pro 20","300","Warm V-shape","In true Westone fashion: the ""downslope"" signature at its worst, with a random treble spike to boot.","D-","D"
"D-","","Westone UM Pro 30","500","Warm V-shape","In true Westone fashion: the ""downslope"" signature at its worst, with a random treble spike to boot.","D-","D"
"D-","","Ocharaku Flat-4 Kaede Type 2","750","Bright","As with the other Flat-4s, rather weird and imaging with an intensely shouty and uneven midrange.","D-","D"
"D-","","Shozy Elsa","750","Warm","","D-","D"
"D-","","Unique Melody ME1","760","Warm","Soft transients, low definition and odd timbre makes this the worst planar I've listened to.","D-","D"
"D-","","Ocharaku Flat-4 Akakeyaki","800","Bright","As with the other Flat-4s, rather weird and imaging with an intensely shouty and uneven midrange.","D-","D"
"D-","","Ocharaku Flat-4 Akazakura","800","Bright V-shape","As with the other Flat-4s, rather weird and imaging with an intensely shouty and uneven midrange.","D-","D"
"D-","","Ocharaku Flat-4 Ti Plus","1000","Bright V-shape","As with the other Flat-4s, rather weird and imaging with an intensely shouty and uneven midrange.","D-","D"
"D-","","Fearless ACME8","1100","Bassy","Weird and bloaty bass in conjunction with tonally weird midrange.","D-","D"
"D-","","Ocharaku Flat-4 Kaede Type 1","Discont.","Bright V-shape","As with the other Flat-4s, rather weird and imaging with an intensely shouty and uneven midrange.","D-","D"
"D-","","Rhapsodio Clipper","55","Bassy","Lots and lots of bass. Slams you in the face with bass.","D","D-"
"D-","","Seahf AWK-009","15","Bright","Phasing issues, weirdly incoherent and yet a strangely compelling listen.","D-","D-"
"D-","","TFZ 1S","40","V-shaped","A little bloated at times and definitely congested.","D-","D-"
"D-","","Kinera YH263","70","Bassy","Almost nothing but bass. Zero semblance of any sort of balance.","D-","D-"
"D-","","Westone UM Pro 10","150","Dark","Attempted neutrality but someone forgot the treble.","D-","D-"
"D-","","Audio Technica ATH-CKS5TW","150","Dark","Muddy bass with virtually nonexistent treble.","D-","D-"
"D-","","Audio Technica ATH-CKR7TW","250","Bright","Shrill, sharp and screams in your face.","D-","D-"
"D-","","Westone W10","250","Dark","Attempted neutrality but someone forgot the treble.","D-","D-"
"D-","","Effect Audio King Arthur","7000","Dark","A joke, both in price and sound. Nobody's laughing.","D-","D-"
"E","","RHA CL1","280","Bright","So much treble to the point where nothing sounds correct. Like raining metal balls on a tin roof.","E","B"
"E","","Hifiman RE800","700","Bright","No bass extension, piercing highs, all round simply just... unpleasant.","E","B"
"E","","Empire Ears EVR Mk2","950","Neutral","Not even the vocals; just terribly unnatural everything.","E","B-"
"E","","Unique Melody 3DD-Ti","700","Bright","It's not the quantity of the treble, but the quality. Reserved only for the most esoteric of tastes.","E","C+"
"E","","Final Audio LAB 2","7400","Unique","Fancy artisanal garbage that fails at the very thing it's supposed to be: an IEM.","E","C"
"E","","Kinera H3","100","V-shaped","Completely off timbre, extremely recessed midrange and sharp, painful treble.","E","C-"
"E","","Hifiman TWS600","200","Mid-centric","Telephonic mess. The worst TWS IEM I have ever heard.","E","C-"
"E","","Campfire IO","300",""Balanced"","Tonality and timbre is all sorts of wrong. Lacks the technicalities to redeem it.","E","C-"
"E","","Final Audio Adagio 3","60","V-shaped","A case study on how NOT to do a V-shape.","E","D"
"E","","Shozy Ceres","180","Warm","","E","D"
"E","","JH Audio Diana","700","Dark","Mushy transients and the detailing capability of free phone earbuds.","E","D"
